Species	Code	AN	Family	Subfamily
Ameles_andreae	Ameand	AA001	Amelidae	
Ameles_serpentiscauda	Ameser	AA003	Amelidae	
Ameles_spallanzania	Amespa	AA005	Amelidae	
Ameles_assoi	Ameass	43assoi	Amelidae	
Pseudoyersinia_betancuriae	Psebet	16CI1f	Amelidae	
Ameles_picteti	Amepic	41K26	Amelidae	
Ameles_dumonti	Amedum	59T3	Amelidae	
Ameles_spallanzania2	Amespa2	23spal	Amelidae	
Ameles_decolor	Amedec	ADEC02	Amelidae	
Rivetina_baetica	Rivbae	RBE05	Riventinidae	Riventininae
Apteromantis_aptera	Aptapt	AAP07	Amelidae	
