Species	Wings
Acontista_multicolor	M
Acromantis_hesione	M
Acromantis_japonica	M
Amantis_nawai	M
Amantis_wuzhishana	M
Ambivia_parapopa	M
Ambivia_undata	M
Ameles_andreae	B
Ameles_assoi	B
Ameles_decolor	B
Ameles_dumonti	B
Ameles_picteti	B
Ameles_serpentiscauda	B
Ameles_spallanzania	B
Ameles_spallanzania2	B
Amorphoscelis_chinensis	M
Amorphoscelis_hainana	M
Amorphoscelis_sp.	M
Anaxarcha_graminea	M
Anaxarcha_sinensis	M
Anaxarcha_sp.	M
Anaxarcha_tianmushanensis	M
Anaxarcha_zhengi	M
Apteromantis_aptera	A
Arria_brevifrons	M
Arria_pallida	M
Arria_pallida_2	M
Arria_pura	M
Asiadodis_yunnanensis	M
Astyliasula_basinigra	B
Astyliasula_major	B
Blepharopsis_mendica	M
Bolivaria_brachyptera	B
Brunneria_borealis	B
Caliris_sp.	M
Callibia_diana	M
Camelomantis_moultoni	B
Carrikerella_sp.	M
Ceratocrania_macra	B
Ceratomantis_saussurii	B
Ceratomantis_yunnanensis	B
Cheddikulama_straminea	B
Chlidonoptera_lestoni	M
Cilnia_humeralis	B
Citharomantis_falcata	M
Creobroter_apicalis	M
Creobroter_elongata	M
Creobroter_gemmatus	M
Creobroter_jiangxiensis	M
Creobroter_sp.	M
Decimiana_sp.	M
Deroplatys_desiccata	M
Deroplatys_desiccata_2	M
Deroplatys_lobata	M
Deroplatys_truncata	M
Empusa_pennicornis	M
Eomantis_yunnanensis	M
Eremiaphila_sp.	B
Galinthias_amoena	M
Gongylus_gongylodes	M
Gonypeta_brunneri	B
Gonypeta_sp.	B
Haania_sp.	B
Haania_vitalisi	B
Hestiasula_hoffmanni	B
Hestiasula_sp.	M
Heterochaeta_sp.	M
Hierodula_chinensis	M
Hierodula_formosana	M
Hierodula_latipennis	M
Hierodula_longa	M
Hierodula_maculata	M
Hierodula_majuscula	M
Hierodula_membranacea	M
Hierodula_multispina	M
Hierodula_patellifera	M
Hierodula_sp.	M
Hierodula_sp._2	M
Hierodula_zhangi	M
Hierodulella_sp.	M
Humbertiella_nada	B
Humbertiella_nada_2	B
Hymenopus_coronatoides	M
Hymenopus_coronatus	M
Idolomantis_diabolica	M
Idolomorpha_lateralis	M
Iris_polystictica	B
Leptomantella_albella	M
Leptomantella_lactea	M
Leptomantella_sp.	M
Leptomantella_tonkinae	M
Majangella_moultoni	M
Mantis_religiosa	M
Mekongomantis_quinquespinosa	M
Mesopteryx_alata	M
Mesopteryx_alata_2	M
Metallyticus_sp.	M
Metallyticus_splendidus	M
Miomantis_caffra	B
Miromantis_sp.	M
Miromantis_yunnanensis	M
Neodanuria_bolauana	M
Odontomantis_sp.	M
Orthodera_ministralis	M
Otomantis_scutigera	M
Otomantis_sp.	M
Pachymantis_bicingulata	M
Panurgica_fratercula	B
Parablepharis_kuhlii	B
Parablepharis_kuhlii_asiatica	B
Parasphendale_agrionina	B
Paratoxodera_gigliotosi	M
Paratoxodera_polyacantha	M
Parymenopus_davisoni	M
Phyllocrania_paradoxa	B
Phyllothelys_breve	M
Phyllothelys_breve_2	M
Phyllothelys_shaanxiense	M
Phyllothelys_sinensis	M
Phyllothelys_sp.	M
Phyllothelys_werneri	M
Pliacanthopus_bimaculatus	M
Plistospilota_sp.	M
Pnigomantis_medioconstricta	M
Polyspilota_griffinii	M
Popa_spurca	B
Prohierodula_picta	B
Prohierodula_sp.	B
Pseudacanthops_lobipes	B
Pseudempusa_pinnapavonis	B
Pseudempusa_pinnapavonis_2	B
Pseudocreobotra_wahlbergii	M
Pseudogalepsus_sp.	B
Pseudovates_chlorophaea	M
Pseudovates_peruviana	M
Pseudoyersinia_betancuriae	A
Psychomantis_borneensis	M
Raptrix_fusca	B
Rhombodera_brachynota	M
Rhombodera_latipronotum	M
Rhombodera_longa	M
Rhombodera_sp.	M
Rhombodera_valida	M
Rivetina_baetica	B
Sceptuchus_simplex	M
Schizocephala_bicornis	M
Sibylla_pretiosa	M
Sinomantis_denticulata	M
Sinomiopteryx_grahami	M
Sinomiopteryx_guangxiensis	M
Sinomiopteryx_sp.	M
Sphodromantis_lineola	M
Sphodromantis_viridis	M
Spilomantis_occipitalis	M
Spilomantis_occipitalis_2	M
Stagmatoptera_biocellata	M
Statilia_agresta	M
Statilia_flavobrunnea	M
Statilia_maculata	M
Statilia_sp.	M
Statilia_sp._2	M
Stenotoxodera_porioni	M
Tamolanica_tamolana	M
Tarachomantis_alaotrana	M
Taumantis_sigiana	B
Tenodera_angustipennis	M
Tenodera_aridifolia_brevicollis	M
Tenodera_sinensis	M
Tenodera_sp.	M
Theopompa_maculosa	B
Theopompa_milligratulata	B
Theopompa_ophthalmica	B
Theopompa_sp.	B
Theopropus_cattulus	M
Theopropus_elegans	M
Theopropus_rubrobrunneus	M
Theopropus_sinecus	M
Theopropus_sp.	M
Toxodera_hauseri	B
Tropidomantis_tenera	M
Yersinia_mexicana	M
