AN	Species	Wings	Male	Female	Dimorphism	Source
KX434843.1	Acontista_multicolor	B	M	B	yes	https://theprayingmantis.co.uk/acontista-multicolor-adult-pair-mating/
NC_086817.1	Acromantis_hesione	M	M	M	no	https://www.tandfonline.com/doi/full/10.1080/00379271.2023.2301343
NC_085562.1	Acromantis_japonica	M	M	M	no	https://www.tandfonline.com/doi/full/10.1080/00379271.2023.2301343
NC_037203.1	Amantis_nawai	B	B	B	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_086818.1	Amantis_wuzhishana	B	B	B	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on
MG888436.1	Ambivia_parapopa	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=First+report+of+the+order+Mantodea+from+Sundarban+biosphere+reserve%2C+India&btnG=
KY689128.1	Ambivia_undata	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=First+report+of+the+order+Mantodea+from+Sundarban+biosphere+reserve%2C+India&btnG=
AA001	Ameles_andreae	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
43assoi	Ameles_assoi	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
ADEC02	Ameles_decolor	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
59T3	Ameles_dumonti	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
41K26	Ameles_picteti	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
AA003	Ameles_serpentiscauda	B	B	B	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
AA005	Ameles_spallanzania	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
23spal	Ameles_spallanzania2	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
KX434846.1	Amorphoscelis_chinensis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
NC_057070.1	Amorphoscelis_hainana	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
MG888437.1	Amorphoscelis_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
OM202555.1	Anaxarcha_graminea	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomical+study+of+the+genus+Anaxarcha+St%C3%A5l+in+China+%28Mantodea%3A+Hymenopodidae%29&btnG=
NC_086822.1	Anaxarcha_sinensis	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomical+study+of+the+genus+Anaxarcha+St%C3%A5l+in+China+%28Mantodea%3A+Hymenopodidae%29&btnG=
OM202554.1	Anaxarcha_sp.	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomical+study+of+the+genus+Anaxarcha+St%C3%A5l+in+China+%28Mantodea%3A+Hymenopodidae%29&btnG=
NC_086826.1	Anaxarcha_tianmushanensis	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomical+study+of+the+genus+Anaxarcha+St%C3%A5l+in+China+%28Mantodea%3A+Hymenopodidae%29&btnG=
NC_030268.1	Anaxarcha_zhengi	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomical+study+of+the+genus+Anaxarcha+St%C3%A5l+in+China+%28Mantodea%3A+Hymenopodidae%29&btnG=
AAP07	Apteromantis_aptera	A	A	A	no	https://www.researchgate.net/publication/262693789_A_revision_of_Apteromantis_Mantodea_Mantidae_Amelinae_A_comprehensive_approach_to_manage_old_taxonomic_and_conservation_problems
NC_086828.1	Arria_brevifrons	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
NC_051892.1	Arria_pallida	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
OM202563.1	Arria_pallida_2	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
NC_086829.1	Arria_pura	M	M	A	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
MW357297.1	Asiadodis_yunnanensis	B	M	B	yes	https://www.mysterymantis.de/shop/mantodea/asiadodis-yunnanensis/
PP438763.1	Astyliasula_basinigra	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Revision+of+Hestiasulini+Giglio-Tos%2C+1915+stat.+rev.+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29+of+Borneo%2C+with+description+of+new+taxa+and+comments+on+the+taxonomy+of+the+tribe&btnG=			
NC_086830.1	Astyliasula_major	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Revision+of+Hestiasulini+Giglio-Tos%2C+1915+stat.+rev.+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29+of+Borneo%2C+with+description+of+new+taxa+and+comments+on+the+taxonomy+of+the+tribe&btnG=
KX434828.1	Blepharopsis_mendica	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
OZ336339.1	Bolivaria_brachyptera	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
KX434826.1	Brunneria_borealis	A	A	A	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=No+mitochondrial+DNA+variation+in+COI+gene+among+widely+distributed+populations+of+a+parthenogenetic+praying+mantid%3A+a+biogeographic+puzzle&btnG=
KY689126.1	Caliris_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Biodiversity+Record%3A+New+record+of+the+praying+mantis%2C+Caliris+elegans%2C+in+Singapore&btnG=
NC_077476.1	Callibia_diana	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=llometry+and+ontogeny+in+Callibia+diana+St%C3%A5l+%28Mantodea%3A+Acanthopidae%29.%22+Neotropical+Entomology+40.4+%282011%29%3A+462-469.&btnG=
KX434812.1	Camelomantis_moultoni	B	M	B	yes	https://www.entomologiitaliani.net/public/forum/phpBB3/viewtopic.php?f=340&t=88756&view=next
OM910846.1	Carrikerella_sp.	B	M	A	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
PP438765.1	Ceratocrania_macra	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomy+and+synonymy+of+Phyllothelys+Wood-+Mason+%28Dictyoptera%3A+Mantodea%29&btnG=
KX091850.1	Ceratomantis_saussurii	B	M	B	yes	https://www.researchgate.net/publication/281745431_Revision_of_the_genus_Ceratomantis_Wood-Mason_1876_Dictyoptera_Mantodea
PP438766.1	Ceratomantis_yunnanensis	B	M	B	yes	https://www.researchgate.net/publication/281745431_Revision_of_the_genus_Ceratomantis_Wood-Mason_1876_Dictyoptera_Mantodea
