Code    AN      Family  Subfamily       Species	wing	Source
Acomul	KX434843.1	Acanthopidae	Stenophyllinae	Acontista_multicolor	m(macrotteri)-f(brachittere)	https://theprayingmantis.co.uk/acontista-multicolor-adult-pair-mating/
Acrhes	NC_086817.1	Hymenopodidae	Acromantinae	Acromantis_hesione	macrottera	https://www.tandfonline.com/doi/full/10.1080/00379271.2023.2301343
Acrjap	NC_085562.1	Hymenopodidae	Acromantinae	Acromantis_japonica	macrottera	https://www.tandfonline.com/doi/full/10.1080/00379271.2023.2301343
Amanaw	NC_037203.1	Gonypetidae	Iridopteryginae	Amantis_nawai	brachittera/macrottera	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
Amawuz	NC_086818.1	Gonypetidae	Iridopteryginae	Amantis_wuzhishana	brachittera/macrottera	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on
Ambpar	MG888436.1	Hymenopodidae	Acromantinae	Ambivia_parapopa	m(macrotteri)	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=First+report+of+the+order+Mantodea+from+Sundarban+biosphere+reserve%2C+India&btnG=
Ambund	KY689128.1	Hymenopodidae	Acromantinae	Ambivia_undata	m(macrotteri)	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=First+report+of+the+order+Mantodea+from+Sundarban+biosphere+reserve%2C+India&btnG=
Ameand	AA001	Amelidae	na	Ameles_andreae	m(macrotteri)-f(brachittere/attere)
Ameass	43assoi	Amelidae	na	Ameles_assoi	m(macrotteri)-f(brachittere/attere)
Amedec	ADEC02	Amelidae	na	Ameles_decolor	m(macrotteri)-f(brachittere/attere)
Amedum	59T3	Amelidae	na	Ameles_dumonti	m(macrotteri)-f(brachittere/attere)
Amepic	41K26	Amelidae	na	Ameles_picteti	m(macrotteri)-f(brachittere/attere)
Ameser	AA003	Amelidae	na	Ameles_serpentiscauda	brachittera
Amespa	AA005	Amelidae	na	Ameles_spallanzania	m(macrotteri)-f(brachittere/attere)
Amespa2	23spal	Amelidae	na	Ameles_spallanzania2	m(macrotteri)-f(brachittere/attere)
Amochi	KX434846.1	Amorphoscelidae	Amorphoscelinae	Amorphoscelis_chinensis	f(macrottere)
Amohai	NC_057070.1	Amorphoscelidae	Amorphoscelinae	Amorphoscelis_hainana	f(macrottere)
Amospe	MG888437.1	Amorphoscelidae	Amorphoscelinae	Amorphoscelis_sp.	f(macrottere)
Anagra	OM202555.1	Hymenopodidae	Hymenopodinae	Anaxarcha_graminea	m(macrotteri)-f(brachittere)
Anasin	NC_086822.1	Hymenopodidae	Hymenopodinae	Anaxarcha_sinensis	m(macrotteri)-f(brachittere)
Anaspe	OM202554.1	Hymenopodidae	Hymenopodinae	Anaxarcha_sp.	m(macrotteri)-f(brachittere)
Anatia	NC_086826.1	Hymenopodidae	Hymenopodinae	Anaxarcha_tianmushanensis	m(macrotteri)-f(brachittere)
Anazhe	NC_030268.1	Hymenopodidae	Hymenopodinae	Anaxarcha_zhengi	m(macrotteri)-f(brachittere)
Aptapt	AAP07	Amelidae	na	Apteromantis_aptera	attera
Arrbre	NC_086828.1	Haaniidae	Haaniinae	Arria_brevifrons	m(macrotteri)
Arrpal	NC_051892.1	Haaniidae	Haaniinae	Arria_pallida	m(macrotteri)
Arrpal2	OM202563.1	Haaniidae	Haaniinae	Arria_pallida_2	m(macrotteri)
Arrpur	NC_086829.1	Haaniidae	Haaniinae	Arria_pura	m(macrotteri)-f(attere)
Asiyun	MW357297.1	Mantidae	Choeradodinae	Asiadodis_yunnanensis	m(macrotteri)-f(brachittere)
Astbas	PP438763.1	Hymenopodidae	Oxypilinae	Astyliasula_basinigra	brachittere
Astmaj	NC_086830.1	Hymenopodidae	Oxypilinae	Astyliasula_major	brachittere
Blemen	KX434828.1	Empusidae	Blepharodinae	Blepharopsis_mendica	macrottera
Bolbra	OZ336339.1	Rivetinidae	Rivetininae	Bolivaria_brachyptera	m(mesotteri/macrotteri)-f(microptere/brachittere)
Brubor	KX434826.1	Coptopterygidae	na	Brunneria_borealis	attera
Calspe	KY689126.1	Haaniidae	Caliridinae	Caliris_sp.	macrottera
Caldia	NC_077476.1	Acanthopidae	Stenophyllinae	Callibia_diana	m(macrotteri)-f(brachittere)
Cammou	KX434812.1	Mantidae	Hierodulinae	Camelomantis_moultoni	m(macrotteri)-f(brachittere/attere)
Carspe	OM910846.1	Thespidae	Thespinae	Carrikerella_sp.	f(attera)
Cermac	PP438765.1	Hymenopodidae	Phyllothelyinae	Ceratocrania_macra	m(macrotteri)-f(brachittere/attere)
Cersau	KX091850.1	Hymenopodidae	Oxypilinae	Ceratomantis_saussurii	m(macrotteri)-f(brachittere)
Ceryun	PP438766.1	Hymenopodidae	Oxypilinae	Ceratomantis_yunnanensis	m(macrotteri)-f(brachittere)
Chestr	NC_077479.1	Toxoderidae	Toxoderinae	Cheddikulama_straminea	f(brachittere)
Chlles	PP438767.1	Hymenopodidae	Hymenopodinae	Chlidonoptera_lestoni	macrottera
Cilhum	NC_069808.1	Miomantidae	Miomantinae	Cilnia_humeralis	m(macrotteri)-f(brachittere)
Citfal	NC_069809.1	Hymenopodidae	Acromantinae	Citharomantis_falcata	macrottera
Creapi	KX434867.1	Hymenopodidae	Hymenopodinae	Creobroter_apicalis	macrottera
Creelo	KX091851.1	Hymenopodidae	Hymenopodinae	Creobroter_elongata	m(macrotteri)-f(brachittere)
Cregem	NC_030267.1	Hymenopodidae	Hymenopodinae	Creobroter_gemmatus	macrottera
Crejia	NC_037234.1	Hymenopodidae	Hymenopodinae	Creobroter_jiangxiensis	m(macrotteri)-f(brachittere)
