AN	Species	Wings	Male	Female	Dimorphism	Photos_Male	Photos_Female
KX434843.1	Acontista_multicolor	M	M	M	no		
NC_086817.1	Acromantis_hesione	M	M	M	no		
NC_085562.1	Acromantis_japonica	M	M	M	no		
NC_037203.1	Amantis_nawai	M	M	B	yes		
NC_086818.1	Amantis_wuzhishana	M	M	B	yes		
MG888436.1	Ambivia_parapopa	M	M	M	no		https://www.inaturalist.org/observations/208924335
KY689128.1	Ambivia_undata	M	M	M	no		https://www.inaturalist.org/observations/208924335
AA001	Ameles_andreae	B	M	B	yes		
43assoi	Ameles_assoi	B	M	B	yes		
ADEC02	Ameles_decolor	B	M	B	yes		
59T3	Ameles_dumonti	B	M	B	yes		
41K26	Ameles_picteti	B	M	B	yes		
AA003	Ameles_serpentiscauda	B	B	B	no		
AA005	Ameles_spallanzania	B	M	B	yes		
23spal	Ameles_spallanzania2	B	M	B	yes		
KX434846.1	Amorphoscelis_chinensis	M	M	M	no		
NC_057070.1	Amorphoscelis_hainana	M	M	M	no		
MG888437.1	Amorphoscelis_sp.	M	M	M	no		
OM202555.1	Anaxarcha_graminea	M	M	M	no		
NC_086822.1	Anaxarcha_sinensis	M	M	M	no		
OM202554.1	Anaxarcha_sp.	M	M	M	no		
NC_086826.1	Anaxarcha_tianmushanensis	M	M	M	no		
NC_030268.1	Anaxarcha_zhengi	M	M	M	no		
AAP07	Apteromantis_aptera	A	A	A	no		
NC_086828.1	Arria_brevifrons	M	M	A	yes		
NC_051892.1	Arria_pallida	M	M	A	yes		
OM202563.1	Arria_pallida_2	M	M	A	yes		
NC_086829.1	Arria_pura	M	M	A	yes		
MW357297.1	Asiadodis_yunnanensis	M	M	M	no		
PP438763.1	Astyliasula_basinigra	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004568_DH_100mm_1	2.jpg_"	
NC_086830.1	Astyliasula_major	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004568_DH_100mm_1	2.jpg_"	
KX434828.1	Blepharopsis_mendica	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005124_Blepharopsis_mendica_M_DH_50mm_1	4.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005125_Blepharopsis_mendica_F_DH_50mm_1	4.jpg_"
OZ336339.1	Bolivaria_brachyptera	B	B	B	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/SMNK_Bolivaria_brachyptera_M_DH_100mm_1	2.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW_Bolivaria_brachyptera_F_DH_100mm_1	2.jpg_"
KX434826.1	Brunneria_borealis	B	B	B	no		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Brunneria_borealis_HoloF_DH_50mm_1	4.jpg_"
KY689126.1	Caliris_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Biodiversity+Record%3A+New+record+of+the+praying+mantis%2C+Caliris+elegans%2C+in+Singapore&btnG=_	..
NC_077476.1	Callibia_diana	M	M	M	no	https://ento360.com/mantid/specimens/70	
KX434812.1	Camelomantis_moultoni	B	M	B	yes	https://www.entomologiitaliani.net/public/forum/phpBB3/viewtopic.php?f=340&t=88756&view=next_	..
OM910846.1	Carrikerella_sp.	M	M	A	yes	https://ento360.com/mantid/specimens/75_	
PP438765.1	Ceratocrania_macra	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003918_DH_50mm_1	2.5.jpg_"	
KX091850.1	Ceratomantis_saussurii	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003763_DH_100mm_1	1.5.jpg_"	
PP438766.1	Ceratomantis_yunnanensis	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003763_DH_100mm_1	1.5.jpg_"	
NC_077479.1	Cheddikulama_straminea	B	M	B	yes		
PP438767.1	Chlidonoptera_lestoni	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Chlidonoptera_lestoni_M_DH_100mm_1	1.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Chlidonoptera_lestoni_F_DH_100mm_1	2_F5.jpg_"
NC_069808.1	Cilnia_humeralis	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Cilnia_humeralis_HM_DH_50mm_1	3.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-44_Cilnia_humeralis_F_DH_5d100mm_1	2_ZS.jpg_"
