Specie	Continente	Codice_Continente	Kingdom	Region	Source
Acontista_multicolor	America	AM	III.Neotropical	27.Antillean-Mesoamerican	https://www.inaturalist.org/observations/104543100
Acromantis_hesione	Australasia	AUS	II.Paleotropical	21.Malesian	http://mantodea.speciesfile.org/Common/editTaxon/Distribution/ShowDistribution.aspx?TaxonNameID=1182476
Acromantis_japonica	Asia	AS	I.Holarctic_II.Paleotropical	4.Chinese-Japanese_20.Indo-Chinese_21.Malesian	https://www.inaturalist.org/observations/369181328
Amantis_nawai	Asia	AS	I.Holarctic_II.Paleotropical	4.Chinese-Japanese_20.Indo-Chinese_21.Malesian	https://www.inaturalist.org/observations/113422380
Amantis_wuzhishana	Asia	AS	II.Paleotropical	20.Indo-Chinese	https://www.inaturalist.org/observations/332837264
Ambivia_parapopa	Asia	AS	II.Paleotropical	19.Indian_20.Indo-Chinese_21.Malesian	https://www.inaturalist.org/observations/337634985
Ambivia_undata	Asia	AS	II.Paleotropical	19.Indian_20.Indo-Chinese_21.Malesian	https://www.inaturalist.org/observations/337634985
Ameles_andreae	Europa	EU	I.Holarctic	5.Mediterranean
Ameles_assoi	Europa-Africa	EU-AF	I.Holarctic	5.Mediterranean	https://www.inaturalist.org/observations/53420685
Ameles_decolor	Europa-Africa	EU-AF	I.Holarctic	5.Mediterranean	https://www.inaturalist.org/taxa/476105-Ameles-decolor#map-tab
Ameles_dumonti	Africa	AF	I.Holarctic	5.Mediterranean	https://www.inaturalist.org/taxa/749621-Ameles-dumonti
Ameles_picteti	Europa-Africa	EU-AF	I.Holarctic	5.Mediterranean	https://www.inaturalist.org/taxa/476110-Ameles-picteti
Ameles_serpentiscauda	Europa	EU	I.Holarctic	5.Mediterranean
Ameles_spallanzania	Europa	EU	I.Holarctic	3.Eurosiberian_5.Mediterranean	https://www.inaturalist.org/taxa/430051-Ameles-spallanzania
Ameles_spallanzania2	Europa	EU	I.Holarctic	3.Eurosiberian_5.Mediterranean	https://www.inaturalist.org/taxa/430051-Ameles-spallanzania
Amorphoscelis_chinensis	Asia	AS	I.Holarctic	4.Chinese-Japanese	https://www.inaturalist.org/observations/366579334
Amorphoscelis_hainana	Asia	AS	II.Paleotropical	20.Indo-Chinese	https://www.inaturalist.org/taxa/749124-Amorphoscelis-hainana
