Specie	Continente	Nazione/i
Acontista_multicolor	America Centro-Meridionale	Argentina, Antille, Colombia, Nicaragua, Trinidad & Tobago, Uruguay, Venezuela
Acromantis_hesione	Asia	Cina,Filippine
Acromantis_japonica	Asia Orientale	Cina, Giappone
Amantis_nawai	Asia	China, Japan, Taiwan, and South Korea
Amantis_wuzhishana	Asia	na
Ambivia_parapopa	Asia Meridionale e Sud-Orientale	India (est), Sri Lanka, Nepal, Myanmar, Vietnam, Thailandia, Malesia, Sumatra, Borneo
Ambivia_undata	Asia Meridionale e Sud-Orientale	India (est), Sri Lanka, Nepal, Myanmar, Vietnam, Thailandia, Malesia, Sumatra, Borneo
Ameles_andreae	Europa	Sardegna,Isole-Baleari
Ameles_assoi	Europa-Africa	Spagna,Marocco
Ameles_decolor	Europa Meridionale, Africa Settentrionale	na
Ameles_dumonti	Africa	Tunisia
Ameles_picteti	Europa-Africa	Spagna,Algeria
Ameles_serpentiscauda	Europa	Sardegna
Ameles_spallanzania	Europa Meridionale	Italia
Ameles_spallanzania2	Europa Meridionale	Italia
Amorphoscelis_chinensis	Asia Orientale	Cina
Amorphoscelis_hainana	Asia	Cina,Isola Hainana
Amorphoscelis_sp.	Africa Subsahariana, Asia Sud-Orientale	Ghana, Malesia, Borneo
Anaxarcha_graminea	Asia Meridionale e Sud-Orientale	India, Penisola Malese, Borneo
Anaxarcha_sinensis	Asia Orientale	Cina, Giappone
Anaxarcha_sp.	Asia	na
Anaxarcha_tianmushanensis	Asia Orientale	Cina
Anaxarcha_zhengi	Asia Orientale	Cina
Apteromantis_aptera	Europa Sud-Occidentale	Spagna
Arria_brevifrons	Asia Orientale, Asia Meridionale	Cina, India
Arria_pallida	Asia Orientale	Cina (Sud)
Arria_pallida_2	Asia Orientale	Cina (Sud)
Arria_pura	Asia Orientale, Asia Meridionale	Cina, India
Asiadodis_yunnanensis	Asia Orientale, Asia Sud-Orientale	Cina (meridionale), Myanmar, Thailandia
Astyliasula_basinigra	Asia	Cina
Astyliasula_major	Asia	Cina
Blepharopsis_mendica	Africa Settentrionale, Asia Occidentale, Europa (Mediterraneo), Africa (Isole Canarie)	India, Egitto, Turchia, Spagna (Isole Canarie)
Bolivaria_brachyptera	Europa Sud-Orientale, Asia Centrale e Meridionale	India, Kazakistan, Mongolia, Cina, Iran
Brunneria_borealis	Nord America	Canada, USA
Caliris_sp.	Asia	Indonesia
Callibia_diana	America Centro-Meridionale	Bolivia, Brasile, Colombia, Ecuador, Guyana Francese, Perù, Venezuela
Camelomantis_moultoni	Asia Sud-Orientale	na
Carrikerella_sp.	America Centro-Meridionale	Costa Rica, Colombia, Ecuador
Ceratocrania_macra	Asia Sud-Orientale	Borneo
Ceratomantis_saussurii	Asia Sud-Orientale	na
Ceratomantis_yunnanensis	Asia	AS
Cheddikulama_straminea	Asia	India,Sri Lanka
Chlidonoptera_lestoni	Africa	Ghana
Cilnia_humeralis	Africa Meridionale	Namibia
Citharomantis_falcata	Asia Sud-Orientale	Penisola Malese, Sumatra, Nord Borneo
Creobroter_apicalis	Asia	India,Bangladesh,Cina,Nepal,Pakistan,Thailandia
Creobroter_elongata	Asia Sud-Orientale	na
Creobroter_gemmatus	Asia Meridionale, Asia Sud-Orientale	India, Myanmar, Cina (Sud), Vietnam (Nord), Isole della Sonda
Creobroter_jiangxiensis	Asia	Cina
Creobroter_sp.	Asia Sud-Orientale	Borneo
Decimiana_sp.	America Meridionale	Brasile, Paraguay
