Species	AN	Name	Code	Zooregion
Acontista_multicolor	KX434843.1	Acomul	AM	2
Acromantis_hesione	NC_086817.1	Acrhes	AUS	11
Acromantis_japonica	NC_085562.1	Acrjap	AS	11_6
Amantis_nawai	NC_037203.1	Amanaw	AS	11_6
Amantis_wuzhishana	NC_086818.1	Amawuz	AS	11
Ambivia_parapopa	MG888436.1	Ambpar	AS	11
Ambivia_undata	KY689128.1	Ambund	AS	11
Ameles_andreae	AA001	Ameand	EU	5
Ameles_assoi	43assoi	Ameass	EU-AF	5
Ameles_decolor	ADEC02	Amedec	EU-AF	5
Ameles_dumonti	59T3	Amedum	AF	5
Ameles_picteti	41K26	Amepic	EU-AF	5
Ameles_serpentiscauda	AA003	Ameser	EU	5
Ameles_spallanzania	AA005	Amespa	EU	5
Ameles_spallanzania2	23spal	Amespa2	EU	5
Amorphoscelis_chinensis	KX434846.1	Amochi	AS	6
Amorphoscelis_hainana	NC_057070.1	Amohai	AS	11
Amorphoscelis_sp.	MG888437.1	Amospe	AF-AS	7_11
Anaxarcha_graminea	OM202555.1	Anagra	AS	11
Anaxarcha_sinensis	NC_086822.1	Anasin	AS	6
Anaxarcha_sp.	OM202554.1	Anaspe	AS	11_6
Anaxarcha_tianmushanensis	NC_086826.1	Anatia	AS	6
Anaxarcha_zhengi	NC_030268.1	Anazhe	AS	6
Apteromantis_aptera	AAP07	Aptapt	EU	5
Arria_brevifrons	NC_086828.1	Arrbre	AS	6
Arria_pallida	NC_051892.1	Arrpal	AS	6
Arria_pallida_2	OM202563.1	Arrpal2	AS	6
Arria_pura	NC_086829.1	Arrpur	AS	6
Asiadodis_yunnanensis	MW357297.1	Asiyun	AS	11
Astyliasula_basinigra	PP438763.1	Astbas	AS	11
Astyliasula_major	NC_086830.1	Astmaj	AS	11
Blepharopsis_mendica	KX434828.1	Blemen	AF-AS-EU	5
Bolivaria_brachyptera	OZ336339.1	Bolbra	EU-AS	5
Brunneria_borealis	KX434826.1	Brubor	AM	1
Caliris_sp.	KY689126.1	Calspe	AS	11
Callibia_diana	NC_077476.1	Caldia	AM	2
Camelomantis_moultoni	KX434812.1	Cammou	AS	11
Carrikerella_sp.	OM910846.1	Carspe	AM	2
Ceratocrania_macra	PP438765.1	Cermac	AS	11
Ceratomantis_saussurii	KX091850.1	Cersau	AS	11
Ceratomantis_yunnanensis	PP438766.1	Ceryun	AS	6
Cheddikulama_straminea	NC_077479.1	Chestr	AS	11
Chlidonoptera_lestoni	PP438767.1	Chlles	AF	9
Cilnia_humeralis	NC_069808.1	Cilhum	AF	7
Citharomantis_falcata	NC_069809.1	Citfal	AS	11
Creobroter_apicalis	KX434867.1	Creapi	AS	11
Creobroter_elongata	KX091851.1	Creelo	AS	6
Creobroter_gemmatus	NC_030267.1	Cregem	AS	11_6
Creobroter_jiangxiensis	NC_037234.1	Crejia	AS	11_6
Creobroter_sp.	MW222469.1	Crespe	AS	11_6
Decimiana_sp.	KX434844.1	Decspe	AM	2
Deroplatys_desiccata	KX434834.1	Derdes	AS	11
Deroplatys_desiccata_2	KY689113.1	Derdes2	AS	11
Deroplatys_lobata	KX434850.1	Derlob	AS	11
Deroplatys_truncata	NC_069810.1	Dertru	AS	11
Empusa_pennicornis	KX434825.1	Emppen	EU-AS	5
Eomantis_yunnanensis	NC_037208.1	Eomyun	AS	11_6
Eremiaphila_sp.	MK400676.1	Erespe	AF-AS	5
Galinthias_amoena	NC_077478.1	Galamo	AF	7
Gongylus_gongylodes	KX434815.1	Gongon	AS	11
