Species	Code	AN	18s	28s	H3	wnt-1	H2A	Family	Subfamily	Complete_genome
Tamolanica_tamolana	Tamtam	NC_007702.1	AY491171.1	AY491230.1	GU064764.1	GU064804.1	na	Mantidae	Hierodulinae	x
Hierodula_formosana	Hiefor	NC_029326.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Tenodera_sinensis	Tensin	NC_030266.1	DQ874190.1	DQ874257.1	GU064792.1	GU064832.1	na	Mantidae	Tenoderinae	x
Rhombodera_brachynota	Rhobra	NC_034282.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Rhombodera_valida	Rhoval	NC_034284.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Schizocephala_bicornis	Schbic	NC_037207.1	EF383508.1	EF383669.1	EF384087.1	FJ802979.1 	na	Mantidae	Schizocephalinae	x
Hierodula_membranacea	Hiemem	NC_048984.1	na	EU414720.1	GU066921.1	na	na	Mantidae	Hierodulinae	x
Rhombodera_longa	Rholon	NC_051489.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Hierodula_chinensis	Hiechi	NC_065745.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Hierodula_zhangi	Hiezha	NC_065746.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Hierodula_maculata	Hiemac	NC_065758.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Tenodera_angustipennis	Tenang	NC_065759.1	AF220579.1	na	EF680327.1	na	na	Mantidae	Tenoderinae	x
Statilia_flavobrunnea	Stafla	NC_065761.1	na	na	na	na	na	Mantidae	Mantinae	x
Parasphendale_agrionina	Paragr	NC_066978.1	na	na	na	na	na	Mantidae	Miomantinae	x
Cilnia_humeralis	Cilhum	NC_069808.1	FJ806475.1	OP881380.1	FJ806835.1	na	na	Mantidae	Miomantinae	x
Deroplatys_truncata	Dertru	NC_069810.1	FJ806516.1	FJ806720.1	FJ806872.1	na	na	Mantidae	Deroplatyinae	x
Hierodula_latipennis	Hielat	NC_086819.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Statilia_agresta	Staagr	NC_086820.1	na	na	na	na	na	Mantidae	Mantinae	x
Pseudempusa_pinnapavonis_2	Psepin2	KX434847.1	na	na	na	na	na	Mantidae	Deroplatyinae	x
Pseudempusa_pinnapavonis	Psepin	NC_086821.1	na	na	na	na	na	Mantidae	Deroplatyinae	x
Eremiaphila_sp.	Erespe	MK400676.1	FJ806416.1	FJ806618.1	FJ806779.1	na	na	Eremiaphilidae	Eremiaphilinae	x
Brunneria_borealis	Brubor	KX434826.1	na	na	na	na	na	Mantidae	Photininae	x
Acontista_multicolor	Acomul	KX434843.1	na	na	na	na	na	Acanthopidae	Acontiothespinae	x
Decimiana_sp.	Decspe	KX434844.1	na	na	na	na	KU507746.1	Acanthopidae	Acanthopinae	x
Caliris_sp.	Calspe	KY689126.1	na	na	na	na	na	Haaniidae	Caliridinae	x
Sinomiopteryx_grahami	Singra	KX434860.1	na	na	na	na	na	Thespidae	Pseudomiopteriginae	x
Amantis_nawai	Amanaw	NC_037203.1	na	na	na	na	na	Gonypetidae	Iridopteryginae	x
Spilomantis_occipitalis_2	Spiocc2	KX091854.1	na	na	na	na	na	Gonypetidae	Iridopteryginae	x
Spilomantis_occipitalis	Spiocc	KX434816.1	na	na	na	na	na	Gonypetidae	Iridopteryginae	x
