Species	Code	AN	Family	Subfamily
Ameles_andrea	Ameand	AA001	Amelidae	Amelinae
Ameles_serpentiscauda	Ameser	AA003	Amelidae	Amelinae
Ameles_spallanzania	Amespa	AA005	Amelidae	Amelinae
Ameles_assoi	Ameass	43assoi	Amelidae	Amelinae
Pseudoyersinia_bentancuriae	Pseben	16CI1f	Amelidae	Amelinae
Ameles_picteti	Amepic	41K26	Amelidae	Amelinae
Ameles_dumonti	Amedum	59T3	Amelidae	Amelinae
Ameles_spallanzania2	Amespa2	23spal	Amelidae	Amelinae
Ameles_decolor	Amedec	ADEC02	Amelidae	Amelinae
Riventina_baetica	Rivbae	RBE05	Riventinidae	Riventininae
Apteromantis_aptera	Aptapt	AAP07	Amelidae	Amelinae		
