Code	AN	Family	Subfamily
Tamtam	NC_007702.1	Mantidae	Hierodulinae
Hiefor	NC_029326.1	Mantidae	Hierodulinae
Tensin	NC_030266.1	Mantidae	Tenoderinae
Rhobra	NC_034282.1	Mantidae	Hierodulinae
Rhoval	NC_034284.1	Mantidae	Hierodulinae
Schbic	NC_037207.1	Eremiaphilidae	Iridinae
Hiemem	NC_048984.1	Mantidae	Hierodulinae
Rholon	NC_051489.1	Mantidae	Hierodulinae
Hiechi	NC_065745.1	Mantidae	Hierodulinae
Hiezha	NC_065746.1	Mantidae	Hierodulinae
Hiemac	NC_065758.1	Mantidae	Hierodulinae
Tenang	NC_065759.1	Mantidae	Tenoderinae
Stafla	NC_065761.1	Mantidae	Mantinae
Paragr	NC_066978.1	Miomantidae	Miomantinae
Cilhum	NC_069808.1	Miomantidae	Miomantinae
Dertru	NC_069810.1	Deroplatyidae	Deroplatyinae
Hielat	NC_086819.1	Mantidae	Hierodulinae
Staagr	NC_086820.1	Mantidae	Mantinae
Psepin2	KX434847.1	Deroplatyidae	Deroplatyinae
Psepin	NC_086821.1	Deroplatyidae	Deroplatyinae
Erespe	MK400676.1	Eremiaphilidae	Eremiaphilinae
Brubor	KX434826.1	Coptopterygidae	na
Acomul	KX434843.1	Acanthopidae	Stenophyllinae
Decspe	KX434844.1	Acanthopidae	Acanthopinae
Calspe	KY689126.1	Haaniidae	Caliridinae
Singra	KX434860.1	Haaniidae	Haaniinae
Amanaw	NC_037203.1	Gonypetidae	Iridopteryginae
Spiocc2	KX091854.1	Gonypetidae	Iridopteryginae
Spiocc	KX434816.1	Gonypetidae	Iridopteryginae
Humnad2	KX434857.1	Gonypetidae	Gonypetinae
Humnad	NC_030264.1	Gonypetidae	Gonypetinae
Themil	KX434849.1	Gonypetidae	Gonypetinae
Lepalb	NC_024028.1	Leptomantellidae	na
Amochi	KX434846.1	Amorphoscelidae	Amorphoscelinae
Scesim	NC_037206.1	Nanomantidae	Nanomantinae
Miryun	KX434810.1	Nanomantidae	Nanomantinae
Troten	NC_037205.1	Nanomantidae	Tropidomantinae
Eomyun	NC_037208.1	Nanomantidae	Tropidomantinae
Sinden	NC_063851.1	Nanomantidae	Tropidomantinae
Iripol	KX434820.1	Eremiaphilidae	Iridinae
Hetspe	KX434823.1	Toxoderidae	Heterochaetinae
Psespe	KX434841.1	Eremiaphilidae	Tarachodinae
Parpol	NC_037697.1	Toxoderidae	Toxoderinae
