Code	AN	Family	Subfamily	Species
Tamtam	NC_007702.1	Mantidae	Hierodulinae	Tamolanica_tamolana
Hiefor	NC_029326.1	Mantidae	Hierodulinae	Hierodula_formosana
Tensin	NC_030266.1	Mantidae	Tenoderinae	Tenodera_sinensis
Rhobra	NC_034282.1	Mantidae	Hierodulinae	Rhombodera_brachynota
Rhoval	NC_034284.1	Mantidae	Hierodulinae	Rhombodera_valida
Schbic	NC_037207.1	Eremiaphilidae	Iridinae	Schizocephala_bicornis
Hiemem	NC_048984.1	Mantidae	Hierodulinae	Hierodula_membranacea
Rholon	NC_051489.1	Mantidae	Hierodulinae	Rhombodera_longa
Hiechi	NC_065745.1	Mantidae	Hierodulinae	Hierodula_chinensis
Hiezha	NC_065746.1	Mantidae	Hierodulinae	Hierodula_zhangi
Hiemac	NC_065758.1	Mantidae	Hierodulinae	Hierodula_maculata
Tenang	NC_065759.1	Mantidae	Tenoderinae	Tenodera_angustipennis
Stafla	NC_065761.1	Mantidae	Mantinae	Statilia_flavobrunnea
Paragr	NC_066978.1	Miomantidae	Miomantinae	Parasphendale_agrionina
Cilhum	NC_069808.1	Miomantidae	Miomantinae	Cilnia_humeralis
Dertru	NC_069810.1	Deroplatyidae	Deroplatyinae	Deroplatys_truncata
Hielat	NC_086819.1	Mantidae	Hierodulinae	Hierodula_latipennis
Staagr	NC_086820.1	Mantidae	Mantinae	Statilia_agresta
Psepin2	KX434847.1	Deroplatyidae	Deroplatyinae	Pseudempusa_pinnapavonis_2
Psepin	NC_086821.1	Deroplatyidae	Deroplatyinae	Pseudempusa_pinnapavonis
Erespe	MK400676.1	Eremiaphilidae	Eremiaphilinae	Eremiaphila_sp.
Brubor	KX434826.1	Coptopterygidae	na	Brunneria_borealis
Acomul	KX434843.1	Acanthopidae	Stenophyllinae	Acontista_multicolor
Decspe	KX434844.1	Acanthopidae	Acanthopinae	Decimiana_sp.
Calspe	KY689126.1	Haaniidae	Caliridinae	Caliris_sp.
Singra	KX434860.1	Haaniidae	Haaniinae	Sinomiopteryx_grahami
Amanaw	NC_037203.1	Gonypetidae	Iridopteryginae	Amantis_nawai
Spiocc2	KX091854.1	Gonypetidae	Iridopteryginae	Spilomantis_occipitalis_2
Spiocc	KX434816.1	Gonypetidae	Iridopteryginae	Spilomantis_occipitalis
Humnad2	KX434857.1	Gonypetidae	Gonypetinae	Humbertiella_nada_2
Humnad	NC_030264.1	Gonypetidae	Gonypetinae	Humbertiella_nada
Themil	KX434849.1	Gonypetidae	Gonypetinae	Theopompa_milligratulata
Lepalb	NC_024028.1	Leptomantellidae	na	Leptomantella_albella
Amochi	KX434846.1	Amorphoscelidae	Amorphoscelinae	Amorphoscelis_chinensis
Scesim	NC_037206.1	Nanomantidae	Nanomantinae	Sceptuchus_simplex
Miryun	KX434810.1	Nanomantidae	Nanomantinae	Miromantis_yunnanensis
Troten	NC_037205.1	Nanomantidae	Tropidomantinae	Tropidomantis_tenera
Eomyun	NC_037208.1	Nanomantidae	Tropidomantinae	Eomantis_yunnanensis
Sinden	NC_063851.1	Nanomantidae	Tropidomantinae	Sinomantis_denticulata
Iripol	KX434820.1	Eremiaphilidae	Iridinae	Iris_polystictica
Hetspe	KX434823.1	Toxoderidae	Heterochaetinae	Heterochaeta_sp.
