Species	Codex	Zooregion_new	Zooregion_numeric	binary
Acontista_multicolor	KX434843.1_Acomul	R.Neotropical	2	0100000
Acromantis_hesione	NC_086817.1_Acrhes	R.Indo-Malaysian	6	0000010
Acromantis_japonica	NC_085562.1_Acrjap	R.Palearctic_R.Indo-Malaysian	3_6	0010010
Amantis_nawai	NC_037203.1_Amanaw	R.Palearctic_R.Indo-Malaysian	3_6	0010010
Amantis_wuzhishana	NC_086818.1_Amawuz	R.Indo-Malaysian	6	0000010
Ambivia_parapopa	MG888436.1_Ambpar	R.Indo-Malaysian	6	0000010
Ambivia_undata	KY689128.1_Ambund	R.Indo-Malaysian	6	0000010
Ameles_andreae	AA001_Ameand	R.Palearctic	3	0010000
Ameles_assoi	43assoi_Ameass	R.Palearctic	3	0010000
Ameles_decolor	ADEC02_Amedec	R.Palearctic	3	0010000
Ameles_dumonti	59T3_Amedum	R.Palearctic	3	0010000
Ameles_picteti	41K26_Amepic	R.Palearctic	3	0010000
Ameles_serpentiscauda	AA003_Ameser	R.Palearctic	3	0010000
Ameles_spallanzania	AA005_Amespa	R.Palearctic	3	0010000
Ameles_spallanzania2	23spal_Amespa2	R.Palearctic	3	0010000
Amorphoscelis_chinensis	KX434846.1_Amochi	R.Palearctic	3	0010000
Amorphoscelis_hainana	NC_057070.1_Amohai	R.Indo-Malaysian	6	0000010
Amorphoscelis_sp.	MG888437.1_Amospe	R.Afrotropical_R.Indo-Malaysian	4_6	0001010
Anaxarcha_graminea	OM202555.1_Anagra	R.Indo-Malaysian	6	0000010
Anaxarcha_sinensis	NC_086822.1_Anasin	R.Palearctic	3	0010000
Anaxarcha_sp.	OM202554.1_Anaspe	R.Palearctic_R.Indo-Malaysian	3_6	0010010
Anaxarcha_tianmushanensis	NC_086826.1_Anatia	R.Palearctic	3	0010000
Anaxarcha_zhengi	NC_030268.1_Anazhe	R.Palearctic	3	0010000
Apteromantis_aptera	AAP07_Aptapt	R.Palearctic	3	0010000
