Species,AN,Sizebp,Family,Subfamily,Complete_genome,GenBank
Tamolanica_tamolana,NC_007702.1,16055bp,Mantidae,Hierodulinae,x,DQ241797
Hierodula_formosana,NC_029326.1,16266bp,Mantidae,Hierodulinae,x,KR703238
Tenodera_sinensis,NC_030266.1,15531bp,Mantidae,Tenoderinae,x,KU201318
Rhombodera_brachynota,NC_034282.1,16616bp,Mantidae,Hierodulinae,x,KX611802
Rhombodera_valida,NC_034284.1,16308bp,Mantidae,Hierodulinae,x,KX611804
Schizocephala_bicornis,NC_037207.1,16026bp,Mantidae,Schizocephalinae,x,KY689135
Hierodula_membranacea,NC_048984.1,16122bp,Mantidae,Hierodulinae,x,KR703239
Rhombodera_longa,NC_051489.1,15886bp,Mantidae,Hierodulinae,x,MT110155
Hierodula_chinensis,NC_065745.1,15873bp,Mantidae,Hierodulinae,x,MZ673799
Hierodula_zhangi,NC_065746.1,15068bp,Mantidae,Hierodulinae,x,MZ673800
Hierodula_maculata,NC_065758.1,15772bp,Mantidae,Hierodulinae,x,OL414958
Tenodera_angustipennis,NC_065759.1,15401bp,Mantidae,Tenoderinae,x,OK542389
Statilia_flavobrunnea,NC_065761.1,15445bp,Mantidae,Mantinae,x,OK542391
Parasphendale_agrionina,NC_066978.1,15488bp,Mantidae,Miomantinae,x,OK127862
Cilnia_humeralis,NC_069808.1,15554bp,Mantidae,Miomantinae,x,MK400673
Deroplatys_truncata,NC_069810.1,15834bp,Mantidae,Deroplatyinae,x,MK400675
Hierodula_latipennis,NC_086819.1,15865bp,Mantidae,Hierodulinae,x,OM202553
Statilia_agresta,NC_086820.1,15440bp,Mantidae,Mantinae,x,OM202556
Pseudempusa_pinnapavonis_2,KX434847.1,15496bp,Mantidae,Deroplatyinae,x,KX434847
Pseudempusa_pinnapavonis,NC_086821.1,15529bp,Mantidae,Deroplatyinae,x,OM202557
Eremiaphila_sp.,MK400676.1,15469bp,Eremiaphilidae,Eremiaphilinae,x,MK400676
Brunneria_borealis,KX434826.1,15431bp,Mantidae,Photininae,x,KX434826
Acontista_multicolor,KX434843.1,15630bp,Acanthopidae,Acontiothespinae,x,KX434843
Decimiana_sp.,KX434844.1,15388bp,Acanthopidae,Acanthopinae,x,KX434844
Caliris_sp.,KY689126.1,15433bp,Haaniidae,Caliridinae,x,KY689126
Sinomiopteryx_grahami,KX434860.1,15978bp,Thespidae,Pseudomiopteriginae,x,KX434860
Amantis_nawai,NC_037203.1,15684bp,Gonypetidae,Iridopteryginae,x,
Spilomantis_occipitalis_2,KX091854.1,15510bp,Gonypetidae,Iridopteryginae,x,
Spilomantis_occipitalis,KX434816.1,15767bp,Gonypetidae,Iridopteryginae,x,KX434816
Humbertiella_nada_2,KX434857.1,15862bp,Gonypetidae,Gonypetinae,x,
Humbertiella_nada,NC_030264.1,15866bp,Gonypetidae,Gonypetinae,x,
Theopompa_milligratulata,KX434849.1,16046bp,Gonypetidae,Gonypetinae,x,KX434849
Leptomantella_albella,NC_024028.1,15534bp,Leptomantellidae, ,x,
Amorphoscelis_chinensis,KX434846.1,15805bp,Hymenopodidae,Acromantinae,x,KX434846
Sceptuchus_simplex,NC_037206.1,15548bp,Nanomantidae,Nanomantinae,x,
Miromantis_yunnanensis,KX434810.1,15542bp,Nanomantidae,Tropidomantinae,x,KX434810
Tropidomantis_tenera,NC_037205.1,15609bp,Nanomantidae,Tropidomantinae,x,
Eomantis_yunnanensis,NC_037208.1,15466bp,Nanomantidae,Tropidomantinae,x,
Sinomantis_denticulata,NC_063851.1,15555bp,Nanomantidae,Nanomantinae,x,
Iris_polystictica,KX434820.1,14254bp,Eremiaphilidae,Tarachodinae,x,KX434820
Heterochaeta_sp.,KX434823.1,15576bp,Mantidae,Heterochaetinae,x,KX434823
Pseudogalepsus_sp.,KX434841.1,15562bp,Eremiaphilidae,Tarachodinae,x,KX434841
Paratoxodera_polyacantha,NC_037697.1,15999bp,Toxoderidae,Toxoderinae,x,
Stenotoxodera_porioni,KY689118.1,15633bp,Toxoderidae,Toxoderinae,UNVERIFIED,KY689118
Toxodera_hauseri,KX434837.1,15616bp,Toxoderidae,Toxoderinae,x,KX434837
Neodanuria_bolauana,KX434858.1,15451bp,Mantidae,Dauriinae,x,KX434858
Taumantis_sigiana,KX434817.1,15477bp,Mantidae,Miomantinae,x,KX434817
Miomantis_caffra,KX434808.1,15760bp,Mantidae,Miomantinae,x,KX434808
Popa_spurca,KX434839.1,15714bp,Mantidae,Vatinae,x,KX434839
Deroplatys_lobata,KX434850.1,15681bp,Mantidae,Deroplatyinae,x,KX434850
Deroplatys_desiccata_2,KY689113.1,16065bp,Mantidae,Deroplatyinae,x,KY689113
Deroplatys_desiccata,KX434834.1,15305bp,Mantidae,Deroplatyinae,x,KX434834
Orthodera_ministralis,KX434842.1,15756bp,Mantidae,Orthoderinae,x,KX434842
Statilia_sp._2,OL414957.1,15451bp,Mantidae,Mantinae,x,OL414957
Statilia_sp.,KU201316.1,16294bp,Mantidae,Mantinae,x,KU201316
Pseudovates_chlorophaea,KX434838.1,16253bp,Mantidae,Vatinae,x,KX434838
Tarachomantis_alaotrana,KX434862.1,15459bp,Mantidae,Tenoderinae,x,KX434862
Sphodromantis_viridis,KX434840.1,15504bp,Mantidae,Tenoderinae,x,KX434840
Polyspilota_griffinii,KX434863.1,14403bp,Mantidae,Tenoderinae,x,KX434863
Plistospilota_sp.,KX434821.1,15565bp,Mantidae,Tenoderinae,x,KX434821
Prohierodula_picta,KX434855.1,15565bp,Mantidae,Tenoderinae,x,KX434855
Prohierodula_sp.,KX434868.1,15567bp,Mantidae,Tenoderinae,x,KX434868
Camelomantis_moultoni,KX434812.1,14839bp,Mantidae,Hierodulinae,PARTIAL,KX434812
Hierodula_majuscula,KX434819.1,16000bp,Mantidae,Hierodulinae,x,KX434819
Rhombodera_sp.,KX619654.1,15910bp,Mantidae,Hierodulinae,x,KX619654
Mesopteryx_alata_2,KX434813.1,18075bp,Mantidae,Tenoderinae,x,KX434813
Mesopteryx_alata,MW357300.1,18074bp,Mantidae,Tenoderinae,x,MW357300
Pnigomantis_medioconstricta,KX434851.1,15987bp,Mantidae,Hierodulinae,x,KX434851
Hierodula_multispina,KX434830.1,16282bp,Mantidae,Hierodulinae,x,KX434830
Blepharopsis_mendica,KX434828.1,15628bp,Empusidae,Blepharodinae,x,KX434828
Idolomantis_diabolica,KX434864.1,15678bp,Empusidae,Blepharodinae,x,KX434864
Idolomorpha_lateralis,KX434824.1,15604bp,Empusidae,Empusinae,x,KX434824
Gongylus_gongylodes,KX434815.1,15348bp,Empusidae,Empusinae,x,KX434815
Empusa_pennicornis,KX434825.1,15484bp,Empusidae,Empusinae,x,KX434825
Phyllothelys_sp.,KY689119.1,16467bp,Hymenopodidae,Phyllothelyinae,x,KY689119
Phyllothelys_werneri,NC_086825.1,15465bp,Hymenopodidae,Phyllothelyinae,x,
Otomantis_sp.,KX434856.1,14416bp,Hymenopodidae,Acromantinae,x,KX434856
Ceratomantis_saussurii,KX091850.1,15664bp,Hymenopodidae,Oxypilinae,x,KX091850
Pachymantis_bicingulata,NC_069811.1,16933bp,Hymenopodidae,Oxypilinae,x,
Hestiasula_sp.,KX091855.1,15999bp,Hymenopodidae,Acromantinae,x,KX091855
Hestiasula_hoffmanni,KX434859.1,16022bp,Hymenopodidae,Acromantinae,x,KX434859
Psychomantis_borneensis,NC_045876.1,15493bp,Hymenopodidae,Acromantinae,x,
Popa_spurca_spurca,KY689128.1,15684bp,Mantidae,Vatinae,x,KY689128
Acromantis_hesione,NC_086817.1,15519bp,Hymenopodidae,Acromantinae,x,
Citharomantis_falcata,NC_069809.1,16058bp,Hymenopodidae,Acromantinae,x,
Sibylla_pretiosa,NC_037235.1,15829bp,Hymenopodidae,Sibyllinae,x_,
Phyllocrania_paradoxa,NC_086795.1,15550bp,Hymenopodidae,Phyllocraniinae,x,
Anaxarcha_sinensis,NC_086822.1,15562bp,Hymenopodidae,Acromantinae,x,
Anaxarcha_zhengi,NC_030268.1,16620bp,Hymenopodidae,Acromantinae,x,
Odontomantis_sp.,PP072307.1,15526bp,Hymenopodidae,Acromantinae,x,
Pseudocreobotra_wahlbergii,KX434811.1,14816bp,Hymenopodidae,Hymenopodinae,x,
Hymenopus_coronatus,KX434861.1,15677bp,Hymenopodidae,Hymenopodinae,x,
Theopropus_rubrobrunneus,KX434818.1,15577bp,Hymenopodidae,Hymenopodinae,x,
Theopropus_cattulus,KX434829.1,15684bp,Hymenopodidae,Hymenopodinae,x,
Theopropus_elegans,KY689125.1,15660bp,Hymenopodidae,Hymenopodinae,UNVERIFIED,
Creobroter_apicalis,KX434867.1,15603bp,Hymenopodidae,Hymenopodinae,x,
Creobroter_gemmatus,NC_030267.1,15716bp,Hymenopodidae,Hymenopodinae,x,
Creobroter_jiangxiensis,NC_037234.1,15801bp,Hymenopodidae,Hymenopodinae,x,
Haania_sp.,KY689130.1,14810bp,Haaniidae,Haaniinae,PARTIAL,
Arria_pallida,NC_051892.1,16240bp,Haaniidae,Haaniinae,x,
Arria_pallida_2,OM202563.1,16056bp,Haaniidae,Haaniinae,x,
Theopompa_sp.,KU201314.1,16431bp,Gonypetidae,Gonypetinae,x,
Pliacanthopus_bimaculatus,NC_051490.1,15941bp,Nanomantidae,Tropidomantinae,x,
Bolivaria_brachyptera,OZ336339.1,15478bp,Mantidae,Miomantinae,ASSEMBLY,
Yersinia_mexicana,MW357303.1,16193bp,Amelidae,Amelinae,x,
Galinthias_amoena,NC_077478.1,15461bp,Hymenopodidae,Hymenopodinae,x,
Asiadodis_yunnanensis,MW357297.1,15527bp,Mantidae,Choeradodinae,,
Hierodulella_sp.,KY689136.1,15477bp,Mantidae,Hierodulinae,x,
Pseudovates_peruviana,MW357301.1,15690bp,Manridae,Vatinae,PARTIAL,
Stagmatoptera_biocellata,MW357302.1,16366bp,Mantidae,Stagmatopterinae,x,
Mekongomantis_quinquespinosa,MN267041.1,15388bp,Mantidae,Hierodulinae,UNVERIFIED,
Rhombodera_latipronotum,KX091864.1,15543bp,Mantidae,Hierodulinae,PARTIAL,
Creobroter_elongata,KX091851.1,15578bp,Hymenopodidae,Hymenopodinae,x,
Parablepharis_kuhlii,KY689117.1,16130bp,Hymenopodidae,Phyllothelyinae,x,
Phyllothelys_breve,NC_086622.1,15456bp,Hymenopodidae,Phyllothelyinae,x,
Phyllothelys_breve_2,MT024239.1,15896bp,Hymenopodidae,Phyllothelyinae,x,
Raptrix_fusca,NC_077477.1,15439bp,Acanthopidae,Acontiothespinae,x,
Leptomantella_sp.,OM202571.1,15525bp,Leptomantellidae,,x,
Creobroter_sp.,MW222469.1,15736bp,Hymenopodidae,Hymenopodinae,x,
Panurgica_fraterculata,PP438770.1,15874bp,Hymenopodidae,Hymenopodinae,UNVERIFIED,
Ceratocrania_macra,PP438765.1,16012bp,Hymenopodidae,Phyllothelyinae,UNVERIFIED,
