taxon	header	sequence_length	GC_all	valid_sites_all	gc_sites_all	p1_ATP6	p2_ATP6	p4_ATP8	p5_ATP8	p7_COX1	p8_COX1	p10_COX2	p11_COX2	p13_COX3	p14_COX3	p16_CYTB	p17_CYTB	p19_ND1	p20_ND1	p22_ND2	p23_ND2	p25_ND3	p26_ND3	p28_ND4L	p29_ND4L	p31_ND4	p32_ND4	p34_ND5	p35_ND5	p37_ND6	p38_ND6	p40_rrnl	p41_rrns	clean_tax
16CI1f_Psebet	16CI1f_Psebet	12925	0.262880607422329	12907	3393	0.36283185840707965	0.3495575221238938	0.18867924528301888	0.24528301886792453	0.416015625	0.400390625	0.40350877192982454	0.3684210526315789	0.41064638783269963	0.37404580152671757	0.40476190476190477	0.34656084656084657	0.1353135313531353	0.3201320132013201	0.23615160349854228	0.3323615160349854	0.2627118644067797	0.3474576271186441	0.18085106382978725	0.2553191489361702	0.3295964125560538	0.273542600896861	0.25760286225402507	0.08243727598566308	0.23952095808383234	0.25149700598802394	0.23370577281191807	0.26397919375812745	16CI1f_Psebet
23spal_Amespa2	23spal_Amespa2	12925	0.25969147150507554	12511	3249	0.336283185840708	0.35398230088495575	0.1320754716981132	0.2641509433962264	0.412109375	0.404296875	0.40350877192982454	0.37280701754385964	0.40408163265306124	0.36885245901639346	0.4021164021164021	0.3386243386243386	0.14	0.325	0.24397590361445784	0.3313253012048193	0.288135593220339	0.3305084745762712	0.0851063829787234	0.26595744680851063	0.3251121076233184	0.24887892376681614	0.2558139534883721	0.12186379928315412	0.25301204819277107	0.25301204819277107	0.22905027932960895	0.24870466321243523	23spal_Amespa2
41K26_Amepic	41K26_Amepic	12925	0.25819413803971003	12692	3277	0.33185840707964603	0.3584070796460177	0.20754716981132076	0.2830188679245283	0.431640625	0.40625	0.39473684210526316	0.36403508771929827	0.42857142857142855	0.3770491803278688	0.41534391534391535	0.34656084656084657	0.09570957095709572	0.3234323432343234	0.23511904761904762	0.33630952380952384	0.2796610169491525	0.3220338983050847	0.07446808510638298	0.26595744680851063	0.31390134529147984	0.26905829596412556	0.26654740608228983	0.07885304659498207	0.24786324786324787	0.24786324786324787	0.23277467411545624	0.2593068035943517	41K26_Amepic
43assoi_Ameass	43assoi_Ameass	12925	0.2594240224771716	12813	3324	0.3185840707964602	0.36283185840707965	0.20754716981132076	0.32075471698113206	0.43359375	0.40625	0.40350877192982454	0.36403508771929827	0.42585551330798477	0.37786259541984735	0.4126984126984127	0.34656084656084657	0.11221122112211221	0.3234323432343234	0.2303206997084548	0.33819241982507287	0.2796610169491525	0.3220338983050847	0.06382978723404255	0.26595744680851063	0.31614349775784756	0.2600896860986547	0.26908396946564883	0.09369024856596558	0.25149700598802394	0.25149700598802394	0.23277467411545624	0.26153846153846155	43assoi_Ameass
59T3_Amedum	59T3_Amedum	12925	0.2664605614973262	11968	3189	0.3333333333333333	0.36	0.1509433962264151	0.2830188679245283	0.436	0.408	0.3815789473684211	0.36403508771929827	0.40304182509505704	0.38549618320610685	0.41534391534391535	0.34656084656084657	0.0858085808580858	0.33003300330033003	0.23809523809523808	0.32142857142857145	0.2711864406779661	0.3135593220338983	0.11702127659574468	0.26595744680851063	0.31614349775784756	0.29596412556053814	0.32196969696969696	0.0946969696969697	0.25149700598802394	0.25149700598802394	0.23277467411545624	0.25097024579560157	59T3_Amedum
AA001_Ameand	AA001_Ameand	12925	0.259007955077211	12822	3321	0.3274336283185841	0.3672566371681416	0.20754716981132076	0.22641509433962265	0.431640625	0.40625	0.40350877192982454	0.35964912280701755	0.41825095057034223	0.37786259541984735	0.3968253968253968	0.3439153439153439	0.11551155115511551	0.32673267326732675	0.2289156626506024	0.3373493975903614	0.288135593220339	0.3135593220338983	0.07446808510638298	0.26595744680851063	0.3247058823529412	0.27122641509433965	0.2629695885509839	0.0967741935483871	0.24550898203592814	0.24550898203592814	0.23370577281191807	0.2512820512820513	AA001_Ameand
AA003_Ameser	AA003_Ameser	12925	0.25812960807140084	12885	3326	0.3274336283185841	0.3672566371681416	0.20754716981132076	0.24528301886792453	0.431640625	0.404296875	0.40350877192982454	0.35964912280701755	0.41825095057034223	0.37786259541984735	0.3968253968253968	0.3439153439153439	0.0858085808580858	0.32673267326732675	0.23795180722891565	0.33433734939759036	0.288135593220339	0.3220338983050847	0.0851063829787234	0.26595744680851063	0.3183856502242152	0.2556053811659193	0.2629695885509839	0.09498207885304659	0.23952095808383234	0.2634730538922156	0.2346368715083799	0.25256410256410255	AA003_Ameser
AA005_Amespa	AA005_Amespa	12925	0.2618529457484844	12866	3369	0.3407079646017699	0.36283185840707965	0.20754716981132076	0.2641509433962264	0.41796875	0.400390625	0.4166666666666667	0.3684210526315789	0.41825095057034223	0.37786259541984735	0.3994708994708995	0.335978835978836	0.0924092409240924	0.32673267326732675	0.2620481927710843	0.32831325301204817	0.3448275862068966	0.3275862068965517	0.11702127659574468	0.2553191489361702	0.32286995515695066	0.257847533632287	0.26833631484794274	0.1111111111111111	0.26506024096385544	0.2469879518072289	0.23556797020484171	0.24285714285714285	AA005_Amespa
AAP07_Aptapt	AAP07_Aptapt	12925	0.2550325178073707	12916	3294	0.3274336283185841	0.3584070796460177	0.20754716981132076	0.2830188679245283	0.42578125	0.404296875	0.40789473684210525	0.35526315789473684	0.4296577946768061	0.38549618320610685	0.40476190476190477	0.3386243386243386	0.0858085808580858	0.3234323432343234	0.24489795918367346	0.34110787172011664	0.2711864406779661	0.3050847457627119	0.11702127659574468	0.26595744680851063	0.31390134529147984	0.26681614349775784	0.26475849731663686	0.07706093189964158	0.24550898203592814	0.23952095808383234	0.239292364990689	0.2583547557840617	AAP07_Aptapt
ADEC02_Amedec	ADEC02_Amedec	12925	0.2627381136750813	12914	3393	0.3185840707964602	0.35398230088495575	0.1509433962264151	0.3018867924528302	0.43359375	0.408203125	0.3991228070175439	0.36403508771929827	0.39543726235741444	0.3816793893129771	0.4074074074074074	0.3492063492063492	0.0891089108910891	0.3234323432343234	0.23615160349854228	0.3294460641399417	0.2966101694915254	0.3050847457627119	0.11702127659574468	0.26595744680851063	0.3183856502242152	0.29596412556053814	0.2737030411449016	0.08602150537634409	0.2275449101796407	0.2874251497005988	0.2504655493482309	0.2538659793814433	ADEC02_Amedec
