#Seq_id        Length(bp)     Circularity    Closely_related_species
NODE_4         16427          no             Not found           
NODE_5         16228          no             Tenodera sinensis   
NODE_8         14164          no             Not found           
NODE_15        9665           no             Not found           
NODE_24        8362           no             Not found           
NODE_25        8301           no             Not found           
NODE_28        8221           no             Not found           
NODE_29        8219           no             Not found           
NODE_35        7866           no             Not found           
NODE_43        7334           no             Not found           
NODE_45        7252           no             Not found           
NODE_47        7107           no             Not found           
NODE_48        7032           no             Not found           
NODE_51        6981           no             Not found           
NODE_56        6864           no             Not found           
NODE_62        6583           no             Not found           
NODE_65        6398           no             Not found           
NODE_67        6372           no             Not found           
NODE_80        5933           no             Not found           
NODE_90        5854           no             Not found           
NODE_92        5838           no             Not found           
NODE_96        5805           no             Not found           
NODE_99        5789           no             Not found           
NODE_112       5646           no             Not found           
NODE_144       5291           no             Not found           
NODE_153       5215           no             Not found           
NODE_156       5184           no             Not found           
NODE_164       5077           no             Not found           
NODE_170       5027           no             Not found           
NODE_177       4939           no             Not found           
NODE_178       4936           no             Not found           
NODE_179       4932           no             Not found           
NODE_187       4845           no             Not found           
NODE_196       4745           no             Not found           
NODE_205       4698           no             Not found           
NODE_208       4687           no             Not found           
NODE_228       4547           no             Not found           
NODE_249       4405           no             Not found           
NODE_250       4397           no             Not found           
NODE_262       4318           no             Not found           
NODE_308       4027           no             Not found           
NODE_320       3941           no             Not found           
NODE_324       3900           no             Not found           
NODE_336       3824           no             Not found           
NODE_344       3776           no             Not found           
NODE_354       3683           no             Not found           
NODE_361       3622           no             Not found           
NODE_367       3570           no             Not found           
NODE_370       3562           no             Not found           
NODE_376       3536           no             Not found           
NODE_379       3526           no             Not found           
NODE_384       3504           no             Not found           
NODE_385       3503           no             Not found           
NODE_390       3463           no             Not found           
NODE_399       3416           no             Not found           
NODE_404       3401           no             Not found           
NODE_408       3382           no             Not found           
NODE_409       3381           no             Not found           
NODE_412       3372           no             Not found           
NODE_416       3341           no             Not found           
NODE_439       3248           no             Not found           
NODE_444       3200           no             Not found           
NODE_446       3198           no             Not found           
NODE_475       3067           no             Not found           
NODE_477       3060           no             Not found           
NODE_487       3032           no             Not found           
NODE_492       3014           no             Not found           
NODE_503       2990           no             Not found           
NODE_504       2986           no             Not found           
NODE_511       2951           no             Not found           
NODE_526       2926           no             Not found           
NODE_527       2926           no             Not found           
NODE_533       2905           no             Not found           
NODE_553       2831           no             Not found           
NODE_580       2743           no             Not found           
NODE_584       2738           no             Not found           
NODE_589       2728           no             Not found           
NODE_592       2716           no             Not found           
NODE_593       2707           no             Not found           
NODE_599       2698           no             Not found           
NODE_630       2617           no             Not found           
NODE_645       2575           no             Not found           
NODE_674       2510           no             Not found           
NODE_694       2475           no             Not found           
NODE_695       2472           no             Not found           
NODE_705       2446           no             Not found           
NODE_726       2403           no             Not found           
NODE_730       2390           no             Not found           
NODE_735       2377           no             Not found           
NODE_744       2369           no             Not found           
NODE_747       2366           no             Not found           
NODE_757       2324           no             Not found           
NODE_762       2311           no             Not found           
NODE_771       2298           no             Not found           
NODE_772       2296           no             Not found           
NODE_796       2241           no             Not found           
NODE_800       2236           no             Not found           
NODE_802       2229           no             Not found           
NODE_830       2170           no             Not found           
