Rank	Branch_Length	Relative_Rate	Description
1	0.9244269733	9.47	Tip: OM910846.1 Carspe
2	0.6766061412	6.93	Tip: NC 014274.1 Eupsin
3	0.5556884786	5.69	Tip: NC 082459.1 Dippun
4	0.5400610748	5.53	Tip: NC 037207.1 Schbic
5	0.5074231876	5.2	Node: Clade of 3 tips (e.g., KX434846.1 Amochi)
6	0.5023194859	5.15	Tip: NC 037496.1 Crymer
7	0.490659838	5.03	Node: Clade of 2 tips (e.g., MG888455.1 Metspl)
8	0.4879272904	5.0	Tip: MK400676.1 Erespe
9	0.4835340056	4.95	Node: Clade of 2 tips (e.g., NC 015800.1 Copfor)
10	0.4805139268	4.92	Node: Clade of 2 tips (e.g., KY689130.1 Haaspe)
