taxon	header	partition	gc_content	valid_sites	gc_sites	n_sites_in_partition
16CI1f_Psebet	16CI1f_Psebet	p1_ATP6	0.36283185840707965	226	82	226
16CI1f_Psebet	16CI1f_Psebet	p2_ATP6	0.3495575221238938	226	79	226
16CI1f_Psebet	16CI1f_Psebet	p4_ATP8	0.18867924528301888	53	10	53
16CI1f_Psebet	16CI1f_Psebet	p5_ATP8	0.24528301886792453	53	13	53
16CI1f_Psebet	16CI1f_Psebet	p7_COX1	0.416015625	512	213	512
16CI1f_Psebet	16CI1f_Psebet	p8_COX1	0.400390625	512	205	512
16CI1f_Psebet	16CI1f_Psebet	p10_COX2	0.40350877192982454	228	92	228
16CI1f_Psebet	16CI1f_Psebet	p11_COX2	0.3684210526315789	228	84	228
16CI1f_Psebet	16CI1f_Psebet	p13_COX3	0.41064638783269963	263	108	263
16CI1f_Psebet	16CI1f_Psebet	p14_COX3	0.37404580152671757	262	98	262
16CI1f_Psebet	16CI1f_Psebet	p16_CYTB	0.40476190476190477	378	153	378
16CI1f_Psebet	16CI1f_Psebet	p17_CYTB	0.34656084656084657	378	131	378
16CI1f_Psebet	16CI1f_Psebet	p19_ND1	0.1353135313531353	303	41	303
16CI1f_Psebet	16CI1f_Psebet	p20_ND1	0.3201320132013201	303	97	303
16CI1f_Psebet	16CI1f_Psebet	p22_ND2	0.23615160349854228	343	81	343
16CI1f_Psebet	16CI1f_Psebet	p23_ND2	0.3323615160349854	343	114	343
16CI1f_Psebet	16CI1f_Psebet	p25_ND3	0.2627118644067797	118	31	118
16CI1f_Psebet	16CI1f_Psebet	p26_ND3	0.3474576271186441	118	41	118
16CI1f_Psebet	16CI1f_Psebet	p28_ND4L	0.18085106382978725	94	17	94
16CI1f_Psebet	16CI1f_Psebet	p29_ND4L	0.2553191489361702	94	24	94
16CI1f_Psebet	16CI1f_Psebet	p31_ND4	0.3295964125560538	446	147	446
16CI1f_Psebet	16CI1f_Psebet	p32_ND4	0.273542600896861	446	122	446
16CI1f_Psebet	16CI1f_Psebet	p34_ND5	0.25760286225402507	559	144	559
16CI1f_Psebet	16CI1f_Psebet	p35_ND5	0.08243727598566308	558	46	558
16CI1f_Psebet	16CI1f_Psebet	p37_ND6	0.23952095808383234	167	40	167
16CI1f_Psebet	16CI1f_Psebet	p38_ND6	0.25149700598802394	167	42	167
