Species	GenBank	AN	Sizebp	Family	Subfamily	Complete_genome		
Tamolanica_tamolana	DQ241797	NC007702	16055bp	Mantidae	Hierodulinae	x		
Hierodula_formosana_(Titanodula)	KR703238	NC029326	16266bp	Mantidae	Hierodulinae	x		
Tenodera_sinensis	KU201318	NC030266	15531bp	Mantidae	Tenoderinae	x		
Rhombodera_brachynota	KX611802	NC034282	16616bp	Mantidae	Hierodulinae	x		
Rhombodera_valida	KX611804	NC034284	16308bp	Mantidae	Hierodulinae	x		
Schizocephala_bicornis	KY689135	NC037207	16026bp	Mantidae	Schizocephalinae	x		
Hierodula_membranacea	KR703239	NC048984	16122bp	Mantidae	Hierodulinae	x		
Rhombodera_longa_(Hierodula)	MT110155	NC051489	15886bp	Mantidae	Hierodulinae	x		
Hierodula_chinensis	MZ673799	NC065745	15873bp	Mantidae	Hierodulinae	x		
Hierodula_zhangi	MZ673800	NC065746	15068bp	Mantidae	Hierodulinae	x		
Hierodula_maculata	OL414958	NC065758	15772bp	Mantidae	Hierodulinae	x		
Tenodera_angustipennis	OK542389	NC065759	15401bp	Mantidae	Tenoderinae	x		
Statilia_flavobrunnea	OK542391	NC065761	15445bp	Mantidae	Mantinae	x		
Parasphendale_agrionina	OK127862	NC066978	15488bp	Mantidae	Miomantinae	x		
Cilnia_humeralis	MK400673	NC069808	15554bp	Mantidae	Miomantinae	x		
Deroplatys_truncata	MK400675	NC069810	15834bp	Mantidae	Deroplatyinae	x		
Hierodula_latipennis	OM202553	NC086819	15865bp	Mantidae	Hierodulinae	x		
Statilia_agresta	OM202556	NC086820	15440bp	Mantidae	Mantinae	x		
Pseudempusa_pinnapavonis	KX434847	KX434847	15496bp	Mantidae	Deroplatyinae	x		
Pseudempusa_pinnapavonis	OM202557	NC086821	15529bp	Mantidae	Deroplatyinae	x		
Eremiaphila_sp.	MK400676	MK400676	15469bp	Eremiaphilidae	Eremiaphilinae	x		
Brunneria_borealis	KX434826	KX434826	15431bp	Mantidae	Photininae	x		
Acontista_multicolor	KX434843	KX434843	15630bp	Acanthopidae	Acontiothespinae	x		
Decimiana_sp.	KX434844	KX434844	15388bp	Acanthopidae	Acanthopinae	x		
Caliris_sp.	KY689126	KY689126	15433bp	Haaniidae	Caliridinae	x		
Sinomiopteryx_grahami	KX434860	KX434860	15978bp	Thespidae	Pseudomiopteriginae	x		
Amantis_nawai		NC037203	15684bp	Gonypetidae	Iridopteryginae	x		
Spilomantis_occipitalis		KX091854	15510bp	Gonypetidae	Iridopteryginae	x		
Spilomantis_occipitalis	KX434816	KX434816	15767bp	Gonypetidae	Iridopteryginae	x		
Humbertiella_nada		KX434857	15862bp	Gonypetidae	Gonypetinae	x		
Humbertiella_nada		NC030264	15866bp	Gonypetidae	Gonypetinae	x		
Theopompa_milligratulata	KX434849	KX434849	16046bp	Gonypetidae	Gonypetinae	x		
Leptomantella_albella		NC024028	15534bp	Leptomantellidae	Leptomantella	x		
Amorphoscelis_chinensis	KX434846	KX434846	15805bp	Hymenopodidae	Acromantinae	x		
Sceptuchus_simplex		NC037206	15548bp	Nanomantidae	Nanomantinae	x		
Miromantis_yunnanensis	KX434810	KX434810	15542bp	Nanomantidae	Tropidomantinae	x		
Tropidomantis_tenera		NC037205	15609bp	Nanomantidae	Tropidomantinae	x		
Eomantis_yunnanensis		NC037208	15466bp	Nanomantidae	Tropidomantinae	x		
Sinomantis_denticulata		NC063851	15555bp	Nanomantidae	Nanomantinae	x		
Iris_polystictica	KX434820	KX434820	14254bp	Eremiaphilidae	Tarachodinae	x		
Heterochaeta_sp.	KX434823	KX434823	15576bp	Mantidae	Heterochaetinae	x		
Pseudogalepsus_sp.	KX434841	KX434841	15562bp	Eremiaphilidae	Tarachodinae	x		
Paratoxodera_polyacantha		NC037697	15999bp	Toxoderidae	Toxoderinae	x		
Stenotoxodera_porioni	KY689118	KY689118	15633bp	Toxoderidae	Toxoderinae	UNVERIFIED		
Toxodera_hauseri	KX434837	KX434837	15616bp	Toxoderidae	Toxoderinae	x		
Neodanuria_bolauana	KX434858	KX434858	15451bp	Mantidae	Dauriinae	x		
Taumantis_sigiana	KX434817	KX434817	15477bp	Mantidae	Miomantinae	x		
Miomantis_caffra	KX434808	KX434808	15760bp	Mantidae	Miomantinae	x		
Popa_spurca	KX434839	KX434839	15714bp	Mantidae	Vatinae	x		
Deroplatys_lobata	KX434850	KX434850	15681bp	Mantidae	Deroplatyinae	x		
Deroplatys_desiccata	KY689113	KY689113	16065bp	Mantidae	Deroplatyinae	x		
Deroplatys_desiccata	KX434834	KX434834	15305bp	Mantidae	Deroplatyinae	x		
