#Seq_id        Length(bp)     Circularity    Closely_related_species
NODE_3         15664          no             Tenodera sinensis   
NODE_7         12970          no             Not found           
NODE_8         12666          no             Not found           
NODE_16        11516          no             Not found           
NODE_22        10841          no             Not found           
NODE_28        10166          no             Not found           
NODE_32        9271           no             Not found           
NODE_36        9033           no             Not found           
NODE_42        8490           no             Not found           
NODE_43        8465           no             Not found           
NODE_44        8294           no             Not found           
NODE_50        8085           no             Not found           
NODE_57        7725           no             Not found           
NODE_59        7684           no             Not found           
NODE_66        7430           no             Not found           
NODE_84        6839           no             Not found           
NODE_89        6659           no             Not found           
NODE_98        6544           no             Not found           
NODE_110       6285           no             Not found           
NODE_111       6277           no             Not found           
NODE_112       6246           no             Not found           
NODE_120       6092           no             Not found           
NODE_121       6086           no             Not found           
NODE_122       6080           no             Not found           
NODE_124       6060           no             Not found           
NODE_126       6014           no             Not found           
NODE_130       5959           no             Not found           
NODE_148       5726           no             Not found           
NODE_150       5704           no             Not found           
NODE_154       5617           no             Not found           
NODE_161       5548           no             Not found           
NODE_163       5520           no             Not found           
NODE_168       5469           no             Not found           
NODE_173       5434           no             Not found           
NODE_176       5406           no             Not found           
NODE_178       5393           no             Not found           
NODE_181       5381           no             Not found           
NODE_183       5362           no             Not found           
NODE_188       5340           no             Not found           
NODE_210       5174           no             Not found           
NODE_223       4960           no             Not found           
NODE_230       4927           no             Not found           
NODE_234       4896           no             Not found           
NODE_242       4838           no             Not found           
NODE_243       4833           no             Not found           
NODE_261       4643           no             Not found           
NODE_279       4452           no             Not found           
NODE_316       4211           no             Not found           
NODE_337       4118           no             Not found           
NODE_349       4074           no             Not found           
NODE_360       3973           no             Not found           
NODE_365       3944           no             Not found           
NODE_366       3944           no             Not found           
NODE_370       3908           no             Not found           
NODE_371       3905           no             Not found           
NODE_382       3857           no             Not found           
NODE_388       3802           no             Not found           
NODE_393       3758           no             Not found           
NODE_396       3754           no             Not found           
NODE_398       3744           no             Not found           
NODE_405       3714           no             Not found           
NODE_419       3613           no             Not found           
NODE_438       3510           no             Not found           
NODE_452       3464           no             Not found           
NODE_463       3412           no             Not found           
NODE_476       3353           no             Not found           
NODE_479       3327           no             Not found           
NODE_480       3324           no             Not found           
NODE_488       3301           no             Not found           
NODE_504       3224           no             Not found           
NODE_506       3217           no             Not found           
NODE_512       3207           no             Not found           
NODE_514       3203           no             Not found           
NODE_515       3192           no             Not found           
NODE_517       3191           no             Not found           
NODE_522       3174           no             Not found           
NODE_525       3160           no             Not found           
NODE_531       3132           no             Not found           
NODE_540       3110           no             Not found           
NODE_558       3009           no             Not found           
NODE_562       2994           no             Not found           
NODE_576       2942           no             Not found           
NODE_587       2910           no             Not found           
NODE_597       2887           no             Not found           
NODE_604       2857           no             Not found           
NODE_611       2835           no             Not found           
NODE_614       2827           no             Not found           
NODE_616       2823           no             Not found           
NODE_617       2822           no             Not found           
NODE_621       2818           no             Not found           
NODE_641       2752           no             Not found           
NODE_642       2752           no             Not found           
NODE_645       2747           no             Not found           
NODE_649       2734           no             Not found           
NODE_651       2731           no             Not found           
NODE_660       2719           no             Not found           
NODE_664       2712           no             Not found           
NODE_665       2712           no             Not found           
NODE_670       2708           no             Not found           
NODE_678       2689           no             Not found           
NODE_680       2682           no             Not found           
NODE_682       2678           no             Not found           
NODE_707       2621           no             Not found           
NODE_710       2618           no             Not found           
NODE_718       2603           no             Not found           
NODE_741       2553           no             Not found           
NODE_747       2537           no             Not found           
NODE_752       2530           no             Not found           
NODE_753       2530           no             Not found           
NODE_787       2470           no             Not found           
NODE_796       2446           no             Not found           
NODE_798       2443           no             Not found           
NODE_800       2441           no             Not found           
NODE_801       2439           no             Not found           
NODE_810       2425           no             Not found           
NODE_814       2420           no             Not found           
NODE_815       2418           no             Not found           
NODE_834       2367           no             Not found           
NODE_865       2302           no             Not found           
NODE_875       2269           no             Not found           
NODE_883       2243           no             Not found           
NODE_892       2220           no             Not found           
NODE_901       2205           no             Not found           
NODE_910       2190           no             Not found           
NODE_925       2161           no             Not found           
NODE_927       2158           no             Not found           
NODE_931       2152           no             Not found           
NODE_941       2130           no             Not found           
NODE_951       2121           no             Not found           
NODE_967       2092           no             Not found           
NODE_973       2082           no             Not found           
NODE_975       2076           no             Not found           
NODE_979       2066           no             Not found           
NODE_987       2062           no             Not found           
NODE_997       2049           no             Not found           
NODE_1000      2044           no             Not found           
NODE_1013      2021           no             Not found           
NODE_1015      2020           no             Not found           
NODE_1021      2013           no             Not found           
NODE_1023      2011           no             Not found           
NODE_1030      2004           no             Not found           
