#Seq_id        Length(bp)     Circularity    Closely_related_species
NODE_1         19102          no             Not found           
NODE_3         18415          no             Not found           
NODE_5         16153          no             Not found           
NODE_6         15618          no             Statilia            
NODE_9         13411          no             Not found           
NODE_12        11585          no             Not found           
NODE_13        11314          no             Not found           
NODE_14        10722          no             Not found           
NODE_25        8847           no             Not found           
NODE_31        8196           no             Not found           
NODE_32        8129           no             Not found           
NODE_44        7598           no             Not found           
NODE_50        7265           no             Not found           
NODE_52        7101           no             Not found           
NODE_53        7094           no             Not found           
NODE_54        7081           no             Not found           
NODE_60        6973           no             Not found           
NODE_71        6686           no             Not found           
NODE_72        6662           no             Not found           
NODE_86        6265           no             Not found           
NODE_90        6208           no             Not found           
NODE_96        6137           no             Not found           
NODE_97        6110           no             Not found           
NODE_112       5863           no             Not found           
NODE_126       5706           no             Not found           
NODE_146       5486           no             Not found           
NODE_150       5441           no             Not found           
NODE_162       5321           no             Not found           
NODE_164       5316           no             Not found           
NODE_165       5301           no             Not found           
NODE_171       5252           no             Not found           
NODE_177       5196           no             Not found           
NODE_178       5159           no             Not found           
NODE_182       5151           no             Not found           
NODE_210       4769           no             Not found           
NODE_211       4766           no             Not found           
NODE_217       4687           no             Not found           
NODE_218       4672           no             Not found           
NODE_220       4659           no             Not found           
NODE_226       4597           no             Not found           
NODE_229       4581           no             Not found           
NODE_233       4541           no             Not found           
NODE_235       4527           no             Not found           
NODE_241       4471           no             Not found           
NODE_272       4219           no             Not found           
NODE_284       4086           no             Not found           
NODE_296       3989           no             Not found           
NODE_307       3931           no             Not found           
NODE_308       3924           no             Not found           
NODE_317       3860           no             Not found           
NODE_318       3859           no             Not found           
NODE_327       3786           no             Not found           
NODE_351       3636           no             Not found           
NODE_355       3615           no             Not found           
NODE_357       3600           no             Not found           
NODE_361       3568           no             Not found           
NODE_365       3546           no             Not found           
NODE_387       3404           no             Not found           
NODE_389       3397           no             Not found           
NODE_394       3358           no             Not found           
NODE_395       3346           no             Not found           
NODE_401       3327           no             Not found           
NODE_404       3309           no             Not found           
NODE_407       3304           no             Not found           
NODE_408       3303           no             Not found           
NODE_412       3286           no             Not found           
NODE_416       3264           no             Not found           
NODE_431       3211           no             Not found           
NODE_435       3190           no             Not found           
NODE_438       3173           no             Not found           
NODE_441       3159           no             Not found           
NODE_456       3091           no             Not found           
NODE_471       3037           no             Not found           
NODE_489       2948           no             Not found           
NODE_492       2932           no             Not found           
NODE_505       2903           no             Not found           
NODE_506       2903           no             Not found           
NODE_510       2874           no             Not found           
NODE_521       2844           no             Not found           
NODE_526       2822           no             Not found           
NODE_532       2796           no             Not found           
NODE_535       2783           no             Not found           
NODE_544       2746           no             Not found           
NODE_547       2734           no             Not found           
NODE_553       2716           no             Not found           
NODE_558       2697           no             Not found           
NODE_563       2688           no             Not found           
NODE_564       2688           no             Not found           
NODE_576       2667           no             Not found           
NODE_578       2664           no             Not found           
NODE_579       2658           no             Not found           
NODE_586       2637           no             Not found           
NODE_588       2633           no             Not found           
NODE_607       2561           no             Not found           
NODE_618       2539           no             Not found           
NODE_622       2513           no             Not found           
NODE_634       2476           no             Not found           
NODE_653       2408           no             Not found           
NODE_655       2400           no             Not found           
NODE_661       2384           no             Not found           
NODE_662       2384           no             Not found           
NODE_671       2359           no             Not found           
NODE_682       2333           no             Not found           
NODE_694       2312           no             Not found           
NODE_701       2291           no             Not found           
NODE_717       2277           no             Not found           
NODE_722       2269           no             Not found           
NODE_737       2253           no             Not found           
NODE_740       2244           no             Not found           
NODE_751       2221           no             Not found           
NODE_756       2211           no             Not found           
NODE_766       2184           no             Not found           
NODE_769       2176           no             Not found           
NODE_780       2159           no             Not found           
NODE_782       2154           no             Not found           
NODE_804       2113           no             Not found           
NODE_806       2106           no             Not found           
NODE_819       2085           no             Not found           
NODE_821       2083           no             Not found           
NODE_833       2073           no             Not found           
NODE_847       2043           no             Not found           
NODE_848       2040           no             Not found           
NODE_855       2024           no             Not found           
NODE_871       2005           no             Not found           
NODE_875       1999           no             Not found           
NODE_876       1995           no             Not found           
NODE_893       1970           no             Not found           
NODE_896       1968           no             Not found           
NODE_900       1963           no             Not found           
NODE_902       1961           no             Not found           
NODE_912       1950           no             Not found           
NODE_914       1935           no             Not found           
NODE_925       1921           no             Not found           
NODE_926       1919           no             Not found           
NODE_934       1905           no             Not found           
NODE_937       1901           no             Not found           
NODE_985       1841           no             Not found           
NODE_987       1839           no             Not found           
NODE_993       1825           no             Not found           
NODE_1003      1817           no             Not found           
NODE_1006      1813           no             Not found           
NODE_1010      1806           no             Not found           
NODE_1014      1800           no             Not found           
NODE_1037      1776           no             Not found           
NODE_1038      1776           no             Not found           
NODE_1044      1769           no             Not found           
NODE_1059      1751           no             Not found           
NODE_1067      1744           no             Not found           
NODE_1069      1743           no             Not found           
NODE_1073      1740           no             Not found           
NODE_1075      1739           no             Not found           
NODE_1093      1720           no             Not found           
NODE_1096      1716           no             Not found           
